# trace records: appended=6864 stored=6864
# seq[0]=0
# seq[1]=4
# seq[2]=264
# seq[3]=34
# seq[4]=132
# seq[5]=260
# seq[6]=0
# seq[7]=1024
# seq[8]=1024
# seq[9]=4096
# seq[10]=32
# seq[11]=4
# seq[12]=0
# seq[13]=0
# seq[14]=0
# seq[15]=0
kind,bx,by,rank,warp,lane,smid,seq,t,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
2,7,1,3,0,0,23,23,1788983405571178528,0,3,0,0,0,0,0,0,0,0
2,7,1,3,4,0,23,24,1788983405571178560,0,3,0,1,0,0,0,0,0,0
2,7,0,1,0,0,7,30,1788983405571178592,0,1,0,0,0,0,0,0,0,0
2,17,0,1,0,0,33,34,1788983405571178592,0,1,0,0,0,0,0,0,0,0
2,7,0,1,4,0,7,33,1788983405571178592,0,1,0,1,0,0,0,0,0,0
2,17,0,1,4,0,33,35,1788983405571178592,0,1,0,1,0,0,0,0,0,0
2,16,1,2,4,0,48,37,1788983405571178656,0,2,1,1,0,0,0,0,0,0
2,16,1,2,0,0,48,36,1788983405571178656,0,2,1,0,0,0,0,0,0,0
2,17,1,3,0,0,49,38,1788983405571178688,0,3,0,0,0,0,0,0,0,0
2,17,1,3,4,0,49,39,1788983405571178720,0,3,0,1,0,0,0,0,0,0
7,8,0,0,1,0,8,18,1788983405571178688,0,1,0,1232,4,0,0,0,0,0
2,32,0,0,4,0,66,2,1788983405571178784,0,0,1,1,0,0,0,0,0,0
2,33,0,1,0,0,67,7,1788983405571178816,0,1,0,0,0,0,0,0,0,0
2,33,0,1,4,0,67,8,1788983405571178816,0,1,0,1,0,0,0,0,0,0
2,8,0,0,0,0,8,40,1788983405571178848,0,0,1,0,0,0,0,0,0,0
7,50,0,0,1,0,98,24,1788983405571178848,0,1,0,1232,25,0,0,0,0,0
2,9,0,1,0,0,9,41,1788983405571178848,0,1,0,0,0,0,0,0,0,0
2,8,0,0,4,0,8,43,1788983405571178848,0,0,1,1,0,0,0,0,0,0
2,50,0,0,0,0,98,31,1788983405571178880,0,0,1,0,0,0,0,0,0,0
2,9,0,1,4,0,9,44,1788983405571178880,0,1,0,1,0,0,0,0,0,0
2,8,1,2,0,0,24,42,1788983405571178848,0,2,1,0,0,0,0,0,0,0
2,8,1,2,4,0,24,45,1788983405571178880,0,2,1,1,0,0,0,0,0,0
2,50,0,0,4,0,98,32,1788983405571178880,0,0,1,1,0,0,0,0,0,0
2,9,1,3,4,0,25,47,1788983405571178880,0,3,0,1,0,0,0,0,0,0
2,9,1,3,0,0,25,46,1788983405571178880,0,3,0,0,0,0,0,0,0,0
2,39,0,1,0,0,73,48,1788983405571178880,0,1,0,0,0,0,0,0,0,0
2,38,1,2,0,0,86,54,1788983405571178880,0,2,1,0,0,0,0,0,0,0
